speaker,gender,filepath,emotion,intensity,cue_t_type,offset_start,offset_end,transcription
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_SadnessPrimary_1.wav,SadnessPrimary,low,,1.58,5.68,It's fine. I just need a little time to myself.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Anxiety(SocialEmotions)_.wav,Anxiety(SocialEmotions),low,,0.2,4.42,I feel uneasy. I can't seem to relax.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Vermodalen(RareAndComplex)_.wav,Vermodalen(RareAndComplex),low,,0.16,9.4,"Every idea feels like a shadow of something that's come before. Yet, I still can't stop trying."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Nostalgia(SocialEmotions)_3.wav,Nostalgia(SocialEmotions),low,,0.18,4.22,I miss those days. They were so simple and carefree.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Jealousy(SocialEmotions)_2.wav,Jealousy(SocialEmotions),low,,0.15,4.59,It's hard not to feel left out when they have so much going on for them.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_ContentmentPrimary_1.wav,ContentmentPrimary,low,,1.44,4.51,I feel pretty good. It's been a nice day.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Rubatosis(RareAndComplex)_.wav,Rubatosis(RareAndComplex),low,,0.17,5.48,Each thought of my heart seemed louder. A reminder of how fragile life can be.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Pride(SocialEmotions)_.wav,Pride(SocialEmotions),low,,0.06,3.25,"I'm happy with how far I've come, it's a good start!"
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Regret(SocialEmotions)_3.wav,Regret(SocialEmotions),low,,0.16,3.94,I wish I'd made a different choice. It would have been better.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Anger(SocialEmotions)_.wav,Anger(SocialEmotions),low,,0.33,5.45,I'm not happy about this. Let's sort it out calmly. Okay?
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_GriefSecondary_1.wav,GriefSecondary,low,,0.07,4.17,It's hard to process. I miss them so much.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Regret(SocialEmotions)_2.wav,Regret(SocialEmotions),low,,0.12,4.67,I wish I'd made a different choice. It could have been better.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Ukiyo(RareAndComplex)_.wav,Ukiyo(RareAndComplex),low,,0.0,5.83,"For now, all that matters is the sound of the rain and the warmth of this tea."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_GuiltSecondary29_1.wav,GuiltSecondary29,low,,0.23,4.7,I feel bad about what I did. It wasn't the right thing to do.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Gratefulness(SocialEmotions)_.wav,Gratefulness(SocialEmotions),low,,0.15,3.66,Thank you. It means a lot that you do this.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Awe(SocialEmotions)_3.wav,Awe(SocialEmotions),low,,0.15,4.23,That's really impressive. I wasn't expecting it to be so unique.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Resentment(SocialEmotions)_.wav,Resentment(SocialEmotions),low,,0.04,3.89,I can't help but feel a little bitter about how things turned out.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Anger(SocialEmotions)_2.wav,Anger(SocialEmotions),low,,0.21,3.6,"This is frustrating, I don't understand why this keeps happening."
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Calmincrisis_1.wav,Calmincrisis,low,,0.49,3.5,Let's take a deep breath and approach this carefully.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Compassion(SocialEmotions)_2.wav,Compassion(SocialEmotions),low,,0.1,3.44,"I feel for them, it must be really hard to go through that."
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Patientassurance_1.wav,Patientassurance,low,,0.48,2.42,Take your time. I'm here to help.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_DisappointmentSecondary69_1.wav,DisappointmentSecondary69,low,,0.88,5.22,That's unfortunate. I was hoping for something better.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_RegertSecondary95_1.wav,RegertSecondary95,low,,0.75,5.44,I wish I had done things differently. It's bothering me a little.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_AnticipationSecondary96_1.wav,AnticipationSecondary96,low,,0.89,6.11,I'm curious to see how things turn out. I have a good feeling about this.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Gentleoptimism_1.wav,Gentleoptimism,low,,0.64,2.91,There are positive steps we can take here.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Awe(SocialEmotions)_4.wav,Awe(SocialEmotions),low,,0.13,3.7,"Wow, that's really something. It's impressive."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_RareAndCompelx_Acedia(RareAndComplex)_.wav,RareAndCompelx,low,,0.08,4.79,The world feels distant and I struggle to summon the energy to engage.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Frustration(SocialEmotions)_3.wav,Frustration(SocialEmotions),low,,0.07,3.72,This is really irritating. I wish it didn't take so long.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Amae(RareAndComplex)_.wav,Amae(RareAndComplex),low,,0.03,3.89,Being with you feels like I can let my guard down completely.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_CalmnessPrimary_1.wav,CalmnessPrimary,low,,1.37,5.8,Everything's okay. Just take a deep breath.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_NostalgiaSecondary94_1.wav,NostalgiaSecondary94,low,,0.85,5.01,That reminds me of the good times. It brings back memories.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Wabi-Sabi(RareAndComplex)_.wav,Wabi-Sabi(RareAndComplex),low,,0.0,5.31,"The cracks in the pottery tell a story of resilience, making it even more beautiful."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_ReliefSecondary_1.wav,ReliefSecondary,low,,0.15,5.0,"Thank goodness that's over. Finally, I can relax."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Awe(SocialEmotions)_2.wav,Awe(SocialEmotions),low,,0.15,3.48,"Wow, that's really impressive! I didn't expect that."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Komorebi(RareAndComplex)_.wav,Komorebi(RareAndComplex),low,,0.04,5.26,"The light dances through the trees, painting patterns of warmth on the ground."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_EnvySecondary92_1.wav,EnvySecondary92,low,,0.45,4.96,I wish I had what they do. It's hard not to compare.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Disappointment(SocialEmotions)_2.wav,Disappointment(SocialEmotions),low,,0.07,3.5,That's unfortunate. I was hoping for something better.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Suspicion(SocialEmotions)_.wav,Suspicion(SocialEmotions),low,,0.0,7.48,Mmm... something feels off. I'm not entirely convinced.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_CompassionSecondary_1.wav,CompassionSecondary,low,,0.17,4.21,I'm here if you need anything. Just let me know.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Relief(SocialEmotions)_.wav,Relief(SocialEmotions),low,,0.45,5.64,Thank goodness that's over. Finally I can relax.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_ConfidenceSecondary_1.wav,ConfidenceSecondary,low,,0.15,4.09,I think I can handle this. It's within my ability.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Loneliness(SocialEmotions)_2.wav,Loneliness(SocialEmotions),low,,0.15,5.61,It's been a while since I connected with someone. I feel a little empty.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Compassion(SocialEmotions)_3.wav,Compassion(SocialEmotions),low,,0.07,4.41,I care about you and what you're going through. I'm here for you.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Hiraeth(RareAndComplex)_.wav,Hiraeth(RareAndComplex),low,,0.13,4.33,"No matter where I go, I'll always long for the place that shaped me."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_JealousySecondary53_1.wav,JealousySecondary53,low,,0.79,6.01,I wish I had what they do. It's hard not to compare myself.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Shame(SocialEmotions)_.wav,Shame(SocialEmotions),low,,0.05,3.8,I feel embarrassed. It wasn't my best moment.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Excitement(SocialEmotions)_.wav,Excitement(SocialEmotions),low,,0.15,2.09,I'm looking forward to it. It should be fun.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_HopeSecondary_1.wav,HopeSecondary,low,,0.15,4.21,I think things will work out. We just need to stay patient.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Empatheticauthority_1.wav,Empatheticauthority,low,,0.14,4.18,I completely understand your situation and want to work with you on a solution.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Shame(SocialEmotions)_2.wav,Shame(SocialEmotions),low,,0.1,5.55,I feel embarrassed. I wish I handled that better.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Saudade(RareAndComplex)_3.wav,Saudade(RareAndComplex),low,,0.13,6.1,"I wonder if I'll ever feel that way again, like everything was perfect for just a moment."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Confidence(SocialEmotions)_.wav,Confidence(SocialEmotions),low,,0.29,2.94,I think I can handle this. It's within my ability.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Sisu(RareAndComplex)_.wav,Sisu(RareAndComplex),low,,0.04,4.48,"Even when the odds were against me, I found the strength to keep going."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Curiosity(SocialEmotions)_3.wav,Curiosity(SocialEmotions),low,,0.13,3.49,That's interesting. I'd like to know more about it.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Guilt(SocialEmotions)_2.wav,Guilt(SocialEmotions),low,,0.21,5.47,I feel bad about what I did. It wasn't the right thing to do.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Curiostity(SocialEmotions)_.wav,Curiostity(SocialEmotions),low,,0.21,2.77,"Hmm, that's interesting, I'd like to learn more."
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Empathyfatigue_1.wav,Empathyfatigue,low,,0.6,3.73,I understand this is hard and we're doing our best.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Gratitude(SocialEmotions)_.wav,Gratitude(SocialEmotions),low,,0.09,2.98,Thank you for your help. I really appreciate it.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Humiliation(SocialEmotions)_.wav,Humiliation(SocialEmotions),low,,0.03,3.97,I feel a little embarrassed. I wish I had done better.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Compassion(SocialEmotions)_.wav,Compassion(SocialEmotions),low,,0.43,4.28,"I'm here. If you need anything, just let me know."
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Empatheticvalidation_1.wav,Empatheticvalidation,low,,0.63,3.11,I understand this process can be stressful.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Guilt(SocialEmotions)_4.wav,Guilt(SocialEmotions),low,,0.11,4.41,I feel bad about what I did. I shouldn't have acted that way.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_DeterminationSecondary_1.wav,DeterminationSecondary,low,,0.09,3.4,I'm going to keep trying. I'm not giving up yet.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Monachopsis(RareAndComplex)_.wav,Monachopsis(RareAndComplex),low,,0.11,5.34,"No matter how hard I try, there's always a sense that I don't quite belong here."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Ambedo(RareAndComplex)_.wav,Ambedo(RareAndComplex),low,,0.07,5.71,"The raindrops on the window looked like tiny worlds, each telling a story."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Anticipation(SocialEmotions)_3.wav,Anticipation(SocialEmotions),low,,0.0,3.902791666666667,I'm curious to see how things turn out. I have a good feeling about this.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Pihentagyu(RareAndComplex)_.wav,Pihentagyu(RareAndComplex),low,,0.0,5.68,"With a slice mile, he turned the situation into a moment of light-hearted brilliance."
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Sincereapology_1.wav,Sincereapology,low,,0.28,3.19,We're sorry for any inconveniences this has caused.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_EmbarrassmentSecondary_1.wav,EmbarrassmentSecondary,low,,0.12,4.04,That was awkward. I hope nobody noticed.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Envy(SocialEmotions)_2.wav,Envy(SocialEmotions),low,,0.11,3.19,"I wish I had what they do, it's hard not to compare."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Huzun(RareAndComplex)_.wav,Huzun(RareAndComplex),low,,0.12,5.59,"In every street and shadow, I feel the echoes of what was lost."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Resfeber(RareAndComplex)_2.wav,Resfeber(RareAndComplex),low,,0.1,5.79,The excitement and anticipation before setting out feel like a storm in my chest.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Limerence(RareAndComplex)_3.wav,Limerence(RareAndComplex),low,,0.15,4.09,I can't stop thinking about you. It's like you're always on my mind.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_PrideSecondary89_1.wav,PrideSecondary89,low,,0.2,3.97,I'm happy with what I've done. It feels good to achieve this.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Limerence(RareAndComplex)_.wav,Limerence(RareAndComplex),low,,0.12,5.08,"Every thought circles back to you, no matter how hard I try to focus on something else."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_ConfidenceSecondary85_1.wav,ConfidenceSecondary85,low,,0.3,4.29,I think I can handle this. I just need to stay focused.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Love(SocialEmotions)_.wav,Love(SocialEmotions),low,,0.21,3.27,"I care about you, you mean so much to me."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_AdmirationSecondary88_1.wav,AdmirationSecondary88,low,,0.06,3.97,I really respect what they've accomplished. It's impressive.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Sisu(RareAndComplex)_2.wav,Sisu(RareAndComplex),low,,0.06,3.74,I've come too far to give up now and nothing will stop me.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_ShameSecondary35_1.wav,ShameSecondary35,low,,0.21,3.89,I feel embarrassed. I wish I handled that better.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_AweSecondary62_1.wav,AweSecondary62,low,,0.44,5.24,That's really impressive. I wasn't expecting it to be so unique.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Anticipation(SocialEmotions)_2.wav,Anticipation(SocialEmotions),low,,0.12,3.23,I'm curious to see what happens. It could be interesting.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_FrustrationSecondary_1.wav,FrustrationSecondary,low,,0.3,3.55,"Ugh, this is taking longer than expected."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Hygge(RareAndComplex)_.wav,Hygge(RareAndComplex),low,,0.04,5.06,wrapped in a warm blanket by the fire the world feels safe and serene.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_AnxietyPrimary_1.wav,AnxietyPrimary,low,,0.12,4.4,I feel uneasy. I can't seem to relax.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_FearPrimary21_1.wav,FearPrimary21,low,,0.1,4.54,This makes me uneasy. I don't feel comfortable with this.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_ReliefSecondary64_1.wav,ReliefSecondary64,low,,0.45,4.58,I'm glad that's over. I can finally breathe again.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Sonder(RareAndComplex)_.wav,Sonder(RareAndComplex),low,,0.25,8.97,I watched the stranger walk by. Realizing they carry a universe of stories I'll never know.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Firgun(RareAndComplex)_.wav,Firgun(RareAndComplex),low,,0.0,4.16,Your triumph feels like a gift to us all. What a joy to witness.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Optimism(SocialEmotions)_.wav,Optimism(SocialEmotions),low,,0.1,3.1,I think things will get better. It's just a matter of time.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_ReliefSecondary40_1.wav,ReliefSecondary40,low,,0.14,3.49,I'm glad that's over. It worked out okay in the end.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_LonelinessSecondary_1.wav,LonelinessSecondary,low,,0.2,4.89,Sometimes I just feel so alone. It's hard to explain.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Regret(SocialEmotions)_1.wav,Regret(SocialEmotions),low,,0.12,4.67,I wish I'd made a different choice. It could have been better.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Natsukashii(RareAndComplex)_3.wav,Natsukashii(RareAndComplex),low,,0.05,5.21,"I still remember those carefree summer afternoons, walking by the lake with you."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Toska(RareAndComplex)_.wav,Toska(RareAndComplex),low,,0.27,4.36,There's a void in my heart that even time seems unable to fill.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_NostalgiaSecondary39_1.wav,NostalgiaSecondary39,low,,0.19,4.59,That brings back good memories. I haven't thought about that in years.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Gratitude(SocialEmotions)_3.wav,Gratitude(SocialEmotions),low,,0.18,4.09,Thank you. I really appreciate what you've done for me.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_AwePrimary_1.wav,AwePrimary,low,,0.14,4.48,That's really impressive. I've never seen anything like it.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Gratitude(SocialEmotions)_2.wav,Gratitude(SocialEmotions),low,,0.1,3.11,Thank you. I appreciate your kindness.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_AweSecondary_1.wav,AweSecondary,low,,0.22,4.41,"Wow, that's really impressive. I didn't expect that"
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Nostalgia(SocialEmotions)_4.wav,Nostalgia(SocialEmotions),low,,0.09,3.84,That reminds me of good times. It brings back memories.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Cheerfulneutrality_1.wav,Cheerfulneutrality,low,,0.53,3.15,I'm happy to assist with any questions you have.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_AwePrimary82_1.wav,AwePrimary82,low,,0.23,4.0,"Wow, that's really something. It's impressive."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_DulcineaEffect(RareAndComplex)_.wav,DulcineaEffect(RareAndComplex),low,,0.03,3.28,You're everything I've ever dreamed of and more.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Firmencouragement_1.wav,Firmencouragement,low,,0.66,2.68,Let's take the first step to get this sorted.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Joy(SocialEmotions)_2.wav,Joy(SocialEmotions),low,,0.2,3.44,This makes me smile in such a nice moment.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Suspicion(SocialEmotions)_3.wav,Suspicion(SocialEmotions),low,,0.14,4.35,I'm not entirely sure. I feel like something might be off.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Sehnsucht(RareAndComplex)_2.wav,Sehnsucht(RareAndComplex),low,,0.16,4.8,"There's a dreamy chase, one that feels just out of reach."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_GratitudeSecondary30_1.wav,GratitudeSecondary30,low,,0.12,2.99,Thank you. I appreciate your kindness.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Jealousy(SocialEmotions)_4.wav,Jealousy(SocialEmotions),low,,0.06,4.78,I can't help but feel a little envious. I wish I had that.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Hope(SocialEmotions)_.wav,Hope(SocialEmotions),low,,0.14,3.3,I think things will work out. We just need to stay patient.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_CompassionSecondary49_1.wav,CompassionSecondary49,low,,0.12,4.47,"I feel for them, it must be really hard to go through that."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Sadness(SocialEmotions)_.wav,Sadness(SocialEmotions),low,,0.11,3.5,It's fine. I just need a little time to myself.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Boredom(SocialEmotions)_.wav,Boredom(SocialEmotions),low,,0.19,4.44,This isn't very engaging. It's hard to stay focused.
Carrie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Carrie_Communityreassurance_1.wav,Communityreassurance,low,,0.99,4.31,We are coordinating resources to support you.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Suspicion(SocialEmotions)_2.wav,Suspicion(SocialEmotions),low,,0.09,3.98,"I'm not entirely sure about this, it seems a bit off."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Awe(SocialEmotions)_.wav,Awe(SocialEmotions),low,,0.15,3.84,That's really impressive. I've never seen anything like it.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_GuiltSecondary56_1.wav,GuiltSecondary56,low,,0.8,6.26,I feel bad about what I did. I didn't mean for it to happen this way.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_CompassionSecondary84_1.wav,CompassionSecondary84,low,,0.44,3.87,I hope they're okay. I feel for them.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Relief(SocialEmotions)_4.wav,Relief(SocialEmotions),low,,0.14,4.56,I'm glad that's over. I can finally breathe again.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Saudade(RareAndComplex)_.wav,Saudade(RareAndComplex),low,,0.03,9.07,"Sometimes I can almost feel the warmth of your hand in mine, even though you've been gone for so long."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Nostalgia(SocialEmotions)_2.wav,Nostalgia(SocialEmotions),low,,0.25,5.3,That brings back good memories. I haven't thought about that in years.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Eucatastrophe(RareAndComplex)_.wav,Eucatastrophe(RareAndComplex),low,,0.15,5.67,"Just when I thought all was lost, the tide turned, and hope came rushing back."
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_RegretSecondary80_1.wav,RegretSecondary80,low,,0.27,3.84,I wish I'd made a different choice. It would have been better.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Sprezzatura(RareAndComplex)_.wav,Sprezzatura(RareAndComplex),low,,0.15,4.04,"With a calm smile, he handled the impossible as though it were nothing."
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Contempt(SocialEmotions)_.wav,Contempt(SocialEmotions),low,,0.08,4.1,I don't think they understand what they're doing. It's disappointing.
Natalia,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Natalia_JoyPrimary_1.wav,JoyPrimary,low,,1.2,5.85,This is nice. I'm so glad we got to spend time together today.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Sehnsucht(RareAndComplex)_.wav,Sehnsucht(RareAndComplex),low,,0.1,7.73,There's a part of me that always wonders if there's something more waiting just beyond the horizon.
Julie,female,Dataset Preparation & Setup/project_voltron_dataset/female/low/Julie_Mauerbauertraurigkeit(RareAndComplex)_.wav,Mauerbauertraurigkeit(RareAndComplex),low,,0.22,6.71,"I wanted to be alone, not because I didn't care, but because I was afraid they'd see the chaos inside me."
